run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR5311106	PRJEB30134	SAMEA6450919	ERX5100509	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311106/ERR5311106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311106/ERR5311106_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311106/33226_5#2.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311106/33226_5#2.cram.crai	
ERR5311110	PRJEB30134	SAMEA6450666	ERX5100513	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311110/ERR5311110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311110/ERR5311110_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311110/33226_5#6.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311110/33226_5#6.cram.crai	
ERR5311111	PRJEB30134	SAMEA6450926	ERX5100514	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311111/ERR5311111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311111/ERR5311111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311111/33226_5#7.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311111/33226_5#7.cram.crai	
ERR5311112	PRJEB30134	SAMEA6450671	ERX5100515	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/002/ERR5311112/ERR5311112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/002/ERR5311112/ERR5311112_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311112/33226_5#8.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311112/33226_5#8.cram.crai	
ERR5311122	PRJEB30134	SAMEA6450717	ERX5100525	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/002/ERR5311122/ERR5311122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/002/ERR5311122/ERR5311122_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311122/33226_5#18.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311122/33226_5#18.cram.crai	
ERR5311129	PRJEB30134	SAMEA6450698	ERX5100532	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/009/ERR5311129/ERR5311129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/009/ERR5311129/ERR5311129_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311129/33226_5#25.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311129/33226_5#25.cram.crai	
ERR5311133	PRJEB30134	SAMEA6450730	ERX5100536	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311133/ERR5311133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311133/ERR5311133_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311133/33226_5#29.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311133/33226_5#29.cram.crai	
ERR5311136	PRJEB30134	SAMEA6450942	ERX5100539	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311136/ERR5311136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311136/ERR5311136_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311136/33226_5#32.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311136/33226_5#32.cram.crai	
ERR5311137	PRJEB30134	SAMEA6450751	ERX5100540	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311137/ERR5311137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311137/ERR5311137_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311137/33226_5#33.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311137/33226_5#33.cram.crai	
ERR5311138	PRJEB30134	SAMEA6450944	ERX5100541	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311138/ERR5311138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311138/ERR5311138_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311138/33226_5#34.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311138/33226_5#34.cram.crai	
ERR5311143	PRJEB30134	SAMEA6450775	ERX5100546	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311143/ERR5311143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311143/ERR5311143_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311143/33226_5#39.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311143/33226_5#39.cram.crai	
ERR5311144	PRJEB30134	SAMEA6450965	ERX5100547	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311144/ERR5311144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311144/ERR5311144_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311144/33226_5#40.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311144/33226_5#40.cram.crai	
ERR5311147	PRJEB30134	SAMEA6450779	ERX5100550	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311147/ERR5311147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311147/ERR5311147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311147/33226_5#43.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311147/33226_5#43.cram.crai	
ERR5311154	PRJEB30134	SAMEA6450783	ERX5100557	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311154/ERR5311154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311154/ERR5311154_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311154/33226_5#50.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311154/33226_5#50.cram.crai	
