Sample	quast-N50	quast-Total_length	busco-complete	busco-complete_single_copy	busco-complete_duplicated	busco-fragmented	busco-missing	nanostat-Median_read_length_fastq	nanostat-Mean_read_length_fastq	nanostat-Read_length_N50_fastq	nanostat-Median_read_quality_fastq	nanostat-Mean_read_quality_fastq	nanostat-Number_of_reads_fastq	nanostat-Total_bases_fastq	kraken-pct_top_one	kraken-pct_top_n	kraken-pct_unclassified	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR8282753.draft	3782.8720000000003	3.937064																					
ERR8282753.fastq.gz																		0.1686286986955139	39.0	7680.099395482023	4999	20.0	0.03143
ERR8282753.filtered.fastq.gz																		0.06358434008538438	39.0	13620.590017258606	10999	30.0	0.011009
ERR8282753.k2report															84.28558452175493	96.9752021073667	1.3897720047234081						
ERR8282753.polished	3784.159	3.9384249999999996																					
ERR8282753_filtered_NanoStats.txt								11500.0	13625.5	16061.0	13.5	13.3	11.009	150.003072									
ERR8282753_raw_NanoStats.txt								5254.0	7711.1	12333.0	12.7	11.8	31.43	242.361065									
short_summary.specific.bacteria_odb12.2.draft.txt			97.0	97.0	0.0	15.0	4.0																
short_summary.specific.bacteria_odb12.2.polished.txt			112.0	112.0	0.0	3.0	1.0																
short_summary.txt			112.0	112.0	0.0	3.0	1.0																
