Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	chromosome	285498	285839	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTX	114	116	98.28	94.74	114	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
NA	chromosome	285890	286249	+	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	120	120	100.00	93.33	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD	NA	NA
NA	chromosome	286270	288018	+	arsA	arsenite efflux transporter ATPase subunit ArsA	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	583	583	100.00	96.23	583	BAA24822.1	arsenite efflux transporter ATPase subunit ArsA	NA	NA
NA	chromosome	288067	289353	+	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	429	429	100.00	98.83	429	BAA24823.1	arsenite efflux transporter membrane subunit ArsB	NA	NA
NA	chromosome	289369	289791	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTX	141	141	100.00	93.62	141	AAB09628.1	glutaredoxin-dependent arsenate reductase	NA	NA
NA	chromosome	1700775	1701416	-	qnrB35	quinolone resistance pentapeptide repeat protein QnrB35	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_063866049.1	quinolone resistance pentapeptide repeat protein QnrB35	NA	NA
NA	chromosome	3835504	3836598	+	blaCMY	CMY-2 family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	INTERNAL_STOP	365	381	95.80	97.26	365	WP_063859858.1	class C beta-lactamase CMY-66	NA	NA
NA	chromosome	4134764	4135663	-	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	BLASTX	300	300	100.00	93.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
NA	chromosome	4528459	4528884	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
NA	chromosome	4528989	4529333	+	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	115	116	99.14	99.13	115	CAA70196.1	mercuric transport protein MerT	NA	NA
